id,type,title,path,source,modified,summary
agent..mcp,agent_rules,.mcp,.mcp.json,agent_entry,2026-08-19T00:57:36,"{ ""mcpServers"": { ""narrative-debugger"": { ""command"": "".tools/venv/bin/python"", ""args"": [""-m"", ""tools.narrative_debugger.mcp_server""] } } }"
agent.agents,agent_rules,GameDraft Agent Entry,AGENTS.md,agent_entry,2026-08-19T00:57:36,"This repository uses `CLAUDE.md` as the full project rulebook. Codex agents should read and follow `CLAUDE.md` first, then apply any narrower instructions from the current task."
agent.claude,agent_rules,GameDraft — Claude 工作规则,CLAUDE.md,agent_entry,2026-08-31T02:33:11,"<!-- agent-docs-gate:begin (由 agent_docs/_meta/cli.py install 维护,勿手改) -->"
.github-workflows-publish-findingdog-dist,ci_workflow,将 Vite 构建产物推送到独立仓库 wubugui/findingdogdist，供帽子云等静态托管拉取。,.github/workflows/publish-findingdog-dist.yml,github_actions,2026-08-19T00:57:36,name: Publish dist to findingdogdist
package-script.assemble-anim-preview-remote,package_script,npm run assemble:anim-preview-remote,package.json,package_json,2026-08-28T09:43:43,node tools/anim_preview/assemble_remote_deploy.mjs
package-script.build,package_script,npm run build,package.json,package_json,2026-08-28T09:43:43,npm run package:release
package-script.build-anim-preview-remote,package_script,npm run build:anim-preview-remote,package.json,package_json,2026-08-28T09:43:43,vite build --config tools/anim_preview/vite.remote.config.ts
package-script.build-gui,package_script,npm run build:gui,package.json,package_json,2026-08-28T09:43:43,node scripts/pytool.cjs build_workbench .
package-script.build-narrative-editor,package_script,npm run build:narrative-editor,package.json,package_json,2026-08-28T09:43:43,npm run typecheck:narrative-editor && vite build --config tools/narrative_editor_web/vite.config.ts
package-script.build-tools,package_script,npm run build:tools,package.json,package_json,2026-08-28T09:43:43,npm run build:narrative-editor
package-script.build-web-only,package_script,npm run build:web-only,package.json,package_json,2026-08-28T09:43:43,tsc && vite build
package-script.dev,package_script,npm run dev,package.json,package_json,2026-08-28T09:43:43,vite
package-script.dev-anim-preview,package_script,npm run dev:anim-preview,package.json,package_json,2026-08-28T09:43:43,vite --config tools/anim_preview/vite.config.ts
package-script.dev-narrative-editor,package_script,npm run dev:narrative-editor,package.json,package_json,2026-08-28T09:43:43,vite --config tools/narrative_editor_web/vite.config.ts
package-script.dev-parallax-editor,package_script,npm run dev:parallax-editor,package.json,package_json,2026-08-28T09:43:43,vite --config tools/parallax_editor/vite.config.ts
package-script.filter-tool,package_script,npm run filter-tool,package.json,package_json,2026-08-28T09:43:43,node scripts/pytool.cjs filter_tool
package-script.manifest-dev,package_script,npm run manifest:dev,package.json,package_json,2026-08-28T09:43:43,node scripts/pytool.cjs build.asset_manifest . --target dev --report-unpicked
package-script.manifest-release,package_script,npm run manifest:release,package.json,package_json,2026-08-28T09:43:43,node scripts/pytool.cjs build.asset_manifest . --target release --report-unpicked
package-script.package-dev,package_script,npm run package:dev,package.json,package_json,2026-08-28T09:43:43,tsc && node scripts/package.mjs --target dev
package-script.package-release,package_script,npm run package:release,package.json,package_json,2026-08-28T09:43:43,tsc && node scripts/package.mjs --target release
package-script.planner-gui,package_script,npm run planner:gui,package.json,package_json,2026-08-28T09:43:43,node scripts/pytool.cjs production_workbench .
package-script.preview,package_script,npm run preview,package.json,package_json,2026-08-28T09:43:43,vite preview
package-script.release,package_script,npm run release,package.json,package_json,2026-08-28T09:43:43,node scripts/release.mjs
package-script.tauri,package_script,npm run tauri,package.json,package_json,2026-08-28T09:43:43,tauri
package-script.tauri-build,package_script,npm run tauri:build,package.json,package_json,2026-08-28T09:43:43,npm run package:release && tauri build
package-script.tauri-dev,package_script,npm run tauri:dev,package.json,package_json,2026-08-28T09:43:43,tauri dev
package-script.test,package_script,npm run test,package.json,package_json,2026-08-28T09:43:43,vitest run --exclude 'tools/anim_preview/*.test.mjs' && npm run test:anim-preview
package-script.test-anim-preview,package_script,npm run test:anim-preview,package.json,package_json,2026-08-28T09:43:43,node --test tools/anim_preview/*.test.mjs && vitest run tools/anim_preview/assemblyMath.test.ts
package-script.test-tauri,package_script,npm run test:tauri,package.json,package_json,2026-08-28T09:43:43,cargo test --release --manifest-path src-tauri/Cargo.toml
package-script.typecheck-anim-preview,package_script,npm run typecheck:anim-preview,package.json,package_json,2026-08-28T09:43:43,tsc --noEmit -p tools/anim_preview
package-script.typecheck-narrative-editor,package_script,npm run typecheck:narrative-editor,package.json,package_json,2026-08-28T09:43:43,tsc --noEmit -p tools/narrative_editor_web
package-script.verify-dev,package_script,npm run verify:dev,package.json,package_json,2026-08-28T09:43:43,node scripts/verify_build.mjs --target dev
package-script.verify-release,package_script,npm run verify:release,package.json,package_json,2026-08-28T09:43:43,node scripts/verify_build.mjs --target release
bootstrap,script,GameDraft bootstrap for macOS/Linux. Creates a project venv (.tools/venv),bootstrap.sh,script,2026-08-19T00:57:36,set -euo pipefail
dev,script,macOS/Linux task entry: ./dev.sh <task> [args],dev.sh,script,2026-08-19T00:57:36,set -euo pipefail
scripts-agent_hooks-validation_gate,script,validation_gate,scripts/agent_hooks/validation_gate.py,script,2026-08-28T03:10:13,"""""""Claude Code Stop hook:收尾验证门(廉价判定,不跑真实校验)。"
scripts-build-player-atlas,script,build-player-atlas,scripts/build-player-atlas.py,script,2026-08-19T00:57:36,from pathlib import Path
scripts-commit-all,script,Add DVC/git changes and create a commit.,scripts/commit-all.sh,script,2026-08-19T00:57:36,set -euo pipefail
scripts-console,script,Open the unified GameDraft control console.,scripts/console.sh,script,2026-08-19T00:57:36,set -euo pipefail
scripts-dev_agent,script,dev_agent,scripts/dev_agent.cjs,script,2026-08-19T00:57:36,"// agent 起 dev server 的入口:等价 `npm run dev`,但设 GAMEDRAFT_NO_OPEN=1, // 不弹系统浏览器(vite.config.ts server.open 检查该变量)。 // 人工 `npm run dev` 的 auto-open 行为不受影响。接线:.claude/launch.json 的 game-dev*。 const { spawn } = require('child_process'); const path = require('path');"
scripts-generate_demo_audio,script,generate_demo_audio,scripts/generate_demo_audio.py,script,2026-08-19T00:57:36,import math import random import wave from pathlib import Path
scripts-ingest_demo_assets,script,"近黑判定阈值：像素 max(r,g,b) <= 此值才可能被当作背景（从边界泛洪可达才会被抠掉）",scripts/ingest_demo_assets.py,script,2026-08-19T00:57:36,"""""""把《寻狗记》Demo 生成素材包（GeneratedDemoAssets_20260606）入库到 runtime 资源目录。"
scripts-lib-build_helpers,script,build_helpers,scripts/lib/build_helpers.mjs,script,2026-08-28T09:18:05,/**
scripts-lib-build_helpers.test,script,build_helpers.test,scripts/lib/build_helpers.test.mjs,script,2026-08-28T09:19:09,"import { describe, expect, it } from 'vitest'; import { join, resolve } from 'node:path';"
scripts-lib-scene_index,script,scene_index,scripts/lib/scene_index.mjs,script,2026-09-03T09:24:10,/**
scripts-lib-scene_index.test,script,scene_index.test,scripts/lib/scene_index.test.mjs,script,2026-09-03T09:33:06,"import { describe, expect, it } from 'vitest'; import { mkdtemp, mkdir, readFile, writeFile } from 'node:fs/promises'; import { tmpdir } from 'node:os'; import { join } from 'node:path';"
scripts-narrative_cross_graph_endpoint_report,script,narrative_cross_graph_endpoint_report,scripts/narrative_cross_graph_endpoint_report.py,script,2026-08-19T00:57:36,from __future__ import annotations
scripts-package,script,package,scripts/package.mjs,script,2026-09-03T09:27:36,/**
scripts-pull-all,script,Pull git and DVC resources.,scripts/pull-all.sh,script,2026-08-19T00:57:36,set -euo pipefail
scripts-push-all,script,Push DVC resources and git commits.,scripts/push-all.sh,script,2026-08-19T00:57:36,set -euo pipefail
